iter	Passed	Remaining
0	132	131995
1	134	67241
2	137	45537
3	139	34685
4	141	28207
5	144	23919
6	146	20819
7	149	18488
8	151	16707
9	154	15268
10	156	14082
11	159	13097
12	161	12258
13	163	11533
14	166	10915
15	168	10377
16	171	9901
17	173	9473
18	176	9103
19	178	8769
20	181	8470
21	184	8198
22	186	7941
23	189	7709
24	192	7493
25	194	7298
26	197	7119
27	200	6954
28	202	6796
29	205	6651
30	208	6519
31	211	6398
32	214	6276
33	216	6161
34	219	6052
35	222	5956
36	225	5861
37	227	5770
38	230	5688
39	233	5606
40	236	5529
41	239	5457
42	242	5388
43	244	5320
44	247	5256
45	250	5193
46	253	5137
47	256	5079
48	258	5024
49	261	4971
50	264	4921
51	267	4875
52	270	4836
53	273	4795
54	276	4751
55	279	4710
56	282	4670
57	285	4632
58	288	4597
59	291	4560
60	293	4520
61	296	4485
62	299	4449
63	301	4415
64	304	4381
65	307	4348
66	310	4317
67	312	4285
68	315	4255
69	318	4227
70	321	4200
71	323	4173
72	326	4148
73	329	4122
74	332	4099
75	335	4076
76	338	4053
77	340	4030
78	343	4008
79	346	3989
80	349	3967
81	352	3948
82	355	3929
83	358	3908
84	361	3890
85	364	3869
86	366	3848
87	369	3831
88	372	3811
89	375	3794
90	378	3776
91	380	3758
92	383	3742
93	386	3725
94	389	3709
95	392	3694
96	395	3679
97	398	3664
98	400	3649
99	403	3633
100	406	3619
101	409	3603
102	412	3588
103	415	3575
104	417	3561
105	420	3547
106	423	3536
107	426	3523
108	429	3510
109	432	3498
110	435	3484
111	437	3470
112	440	3459
113	443	3447
114	446	3435
115	449	3423
116	452	3411
117	454	3400
118	457	3387
119	460	3375
120	462	3362
121	465	3351
122	468	3340
123	471	3329
124	474	3318
125	476	3307
126	479	3295
127	482	3285
128	485	3275
129	487	3264
130	490	3255
131	493	3246
132	496	3236
133	499	3226
134	502	3216
135	504	3206
136	507	3197
137	510	3187
138	513	3179
139	516	3170
140	518	3160
141	521	3153
142	524	3144
143	527	3135
144	530	3126
145	533	3118
146	536	3110
147	538	3101
148	541	3093
149	544	3084
150	547	3076
151	549	3068
152	553	3061
153	555	3054
154	558	3046
155	562	3042
156	565	3035
157	568	3028
158	571	3020
159	574	3013
160	577	3007
161	580	3001
162	583	2994
163	585	2987
164	589	2981
165	592	2975
166	595	2968
167	598	2964
168	601	2958
169	604	2952
170	607	2946
